,,train_name,station_name,station_code,id,train_number,departure
,,Falaknuma Lingampalli MMTS,KACHEGUDA FALAKNUMA,FM,334315,47158,12:05:00
,,Ahmadabad-New Delhi Swarna Jayanti Rajdhani Expres,AHMEDABAD JN,ADI,292866,12957,17:45:00
,,Kakinada-Sainagar Shirdi Express,KAKINADA TOWN,CCT,306238,17206,06:15:00
,,Ganga Sagar Express,KOLKATA SEALDAH,SDAH,342446,13185,15:40:00
,,Nizamuddin Parikrama,SHAKURBASTI,SSB,306781,64094,08:30:00
,,Veraval Porbandar Passenger,VERAVAL,VRL,296394,59298,16:10:00
,,Kangra Valley Rail Passenger,PATHANKOT,PTK,356438,52467,13:20:00
,,GORAKHPUR - PUNE Exp,GORAKHPUR JN,GKP,522135,11038,15:30:00
,,Pandharpur Nizamabad Passenger,PANDHARPUR,PVR,15905,51434,06:00:00
,,Daund-Pune Fast Shuttle,DAUND JN,DD,15072,51350,07:05:00
,,Falaknuma Lingampalli MMTS,KACHEGUDA FALAKNUMA,FM,318033,47160,13:25:00
,,Delhi Sarai Rohilla-Yesvantpur AC Duronto Express,DELHI SARAI ROHILLA,DEE,169179,12214,23:00:00
,,Siddhaganga Intercity Express,BANGALORE CITY JN,SBC,312788,12725,13:00:00
,,Raichur Guntakal Passenger,RAICHUR,RC,296420,57427,07:55:00
,,Itwari Ramtek Passenger,ITWARI,ITR,301534,58814,12:00:00
,,CHENNAI EGMORE - GAYA SF Exp,CHENNAI EGMORE,MS,522371,12390,07:30:00
,,Kollam Punalur Passenger,KOLLAM JN,QLN,315517,56336,11:00:00
,,Jolarpettai Erode Passenger,JOLARPETTAI,JTJ,295897,56839,15:20:00
,,Pune-Nizamabad Pass,PUNE JN,PUNE,15472,51421,14:25:00
,,Vijayawada Chennai Jan Shatabdi,VIJAYAWADA JN,BZA,395638,12078,14:35:00
,,CHANDIGARH - AMRITSAR Intercity SF Exp,CHANDIGARH,CDG,444917,12411,None
,,Chennai Beach Velachery Sunday EMU,CHENNAI BEACH,MSB,269752,41507,07:00:00
,,Tirnunelveli Erode Passenger,TIRUNELVELI,TEN,304404,56826,05:25:00
,,Durg -Nautanwa Express,DURG,DURG,213887,18205,19:40:00
,,Sahibganj Barharwa Passenger,SAHIBGANJ JN,SBG,332773,53412,12:10:00
,,Castle Rock Miraj Passenge,CASTLE ROCK,CLR,15190,51406,05:50:00
,,Pune Satara Passenger,PUNE JN,PUNE,15968,51435,17:05:00
,,Allapuzha Dhanbad Slip Express,ALLEPPEY,ALLP,485732,18190,None
,,Jajpur Keonjhar kharagpur,JAJPUR KEONJHAR ROAD,JJKR,326440,58008,05:45:00
,,Narkatiaganj-Muzaffarpur Express,NARKATIAGANJ JN,NKE,295486,15216,13:20:00
,,Buxar Patna Passenger,BUXAR,BXR,313209,53206,12:05:00
,,KANYAKUMARI - D H NIZAMUDDIN Thirukkural Exp,KANYAKUMARI,CAPE,529835,12641,19:15:00
,,Patna Buxar Passenger DMU,PATNA JN,PNBE,324031,63231,19:35:00
,,Bilaspur Gevra Passenger,BILASPUR JN,BSP,294190,58210,07:35:00
,,Bilaspur Express Cum Passenger,BHOPAL JN,BPL,322512,18235,08:00:00
,,JODHPUR - AHMEDABAD Passenger,JODHPUR JN,JU,523329,54803,08:45:00
,,Mysore Bangalore (PUSH-PULL) Passenger,MYSORE JN,MYS,329104,56237,14:25:00
,,Dharwad Mysore Express,DHARWAR,DWR,295439,17302,20:45:00
,,Satara Pune Passenger,SATARA,STR,15987,51436,04:15:00
,,ROHTAK - JIND PASSENGER,JIND JN,JIND,528616,54050,16:00:00
,,Miraj Belgaum Passenger,MIRAJ JN,MRJ,16289,51463,19:00:00
,,Itwari Tirodi Passenger,ITWARI,ITR,287601,58815,13:05:00
,,Karjat Pune Passenger,KARJAT,KJT,15364,51417,15:25:00
,,Hatia Express Slip,RAJENDRA NAGAR BIHAR,RJPB,39302,18623-Slip,21:20:00
,,Sangli-Kolhapur Passenger,SANGLI,SLI,15780,51429,20:35:00
,,Miraj- Castle Rock Passenger,MIRAJ JN,MRJ,15166,51405,17:25:00
,,Tinsukia Jorhat Town Passenger,Tinsukia Junction,TSK,330542,55914,14:15:00
,,DELHI ANAND VIHAR T - LUCKNOW DOUBLE DECKER,ANAND VIHAR TRM,ANVT,528748,12584,None
,,Belgaum Miraj Passenger,BELGAUM,BGM,16306,51464,14:30:00
,,Shahdol Ambikapur Passenger,SHAHDOL,SDL,294166,58701,13:30:00
,,RANCHI - NEW DELHI Rajdhani Exp,RANCHI,RNC,440680,12439,17:55:00
,,DEHRADUN - INDORE Exp,DEHRADUN,DDN,523179,14318,06:00:00
,,Chennai Beach Velachery EMU,CHENNAI BEACH,MSB,332076,41119,19:15:00
,,Samata Express,DELHI H NIZAMUDDIN,NZM,294295,12808,08:40:00
,,BhikhnaThori Narkatiaganj Passenger,Bhikhna Thori,BKF,318264,52501,05:35:00
,,Jammu Tawi-Rourkela Express,MURI,MURI,94190,18602,08:20:00
,,Dahod Habibganj Fast Pass,DAHOD,DHD,330330,59393,05:45:00
,,Marikuppam Bangarapet Passenger,Marikuppam,MKM,276341,56506,09:50:00
,,Rajkot Veraval Passenger,RAJKOT JN,RJT,308346,59421,07:50:00
,,AJMER - JODHPUR Fast Passenger,AJMER JN,AII,523639,54802,14:30:00
,,Jabalpur Balaghat Passenger,JABALPUR,JBP,331130,58870,22:20:00
,,Ahmedabad Ajmer Passenger,AHMEDABAD JN,ADI,280412,54805,23:15:00
,,Salem Yesvantpur passenger,SALEM JN,SA,302104,56241,05:20:00
